lemma;lemma-href;;
apostrofe;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00169.php;Klik;
apotheose;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00031.php;Klik;
apparaat van de neerlandicus;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00170.php;Klik;
appendix;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00241.php;Klik;
appositio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03416.php;Klik;
approbatur;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00172.php;Klik;
aprosdoketon;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05185.php;Klik;
aptum;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00173.php;Klik;
aquatint;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00174.php;Klik;
ar(r)itmie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00736.php;Klik;
